Finger,Curl,Direction
Thumb,No Curl,Diagonal Up Left
Index,No Curl,Horizontal Left
Middle,No Curl,Horizontal Left
Ring,No Curl,Horizontal Left
Pinky,No Curl,Horizontal Left
Thumb,No Curl,Diagonal Up Left
Index,No Curl,Horizontal Left
Middle,No Curl,Horizontal Left
Ring,No Curl,Horizontal Left
Pinky,No Curl,Horizontal Left
Thumb,No Curl,Diagonal Up Left
Index,No Curl,Horizontal Left
Middle,No Curl,Horizontal Left
Ring,No Curl,Horizontal Left
Pinky,No Curl,Horizontal Left
Thumb,No Curl,Diagonal Up Left
Index,No Curl,Horizontal Left
Middle,No Curl,Horizontal Left
Ring,No Curl,Horizontal Left
Pinky,No Curl,Horizontal Left
Thumb,No Curl,Diagonal Up Left
Index,No Curl,Horizontal Left
Middle,No Curl,Horizontal Left
Ring,No Curl,Horizontal Left
Pinky,No Curl,Horizontal Left
Thumb,No Curl,Diagonal Up Left
Index,No Curl,Horizontal Left
Middle,No Curl,Horizontal Left
Ring,No Curl,Horizontal Left
Pinky,No Curl,Horizontal Left
Thumb,No Curl,Diagonal Up Left
Index,No Curl,Horizontal Left
Middle,No Curl,Horizontal Left
Ring,No Curl,Horizontal Left
Pinky,No Curl,Horizontal Left
Thumb,No Curl,Diagonal Up Left
Index,No Curl,Horizontal Left
Middle,No Curl,Horizontal Left
Ring,No Curl,Horizontal Left
Pinky,No Curl,Horizontal Left
Thumb,No Curl,Diagonal Up Left
Index,No Curl,Horizontal Left
Middle,No Curl,Horizontal Left
Ring,No Curl,Horizontal Left
Pinky,No Curl,Horizontal Left
Thumb,No Curl,Horizontal Left
Index,No Curl,Horizontal Left
Middle,No Curl,Horizontal Left
Ring,No Curl,Horizontal Left
Pinky,No Curl,Horizontal Left
Thumb,No Curl,Horizontal Left
Index,No Curl,Horizontal Left
Middle,No Curl,Horizontal Left
Ring,No Curl,Horizontal Left
Pinky,No Curl,Horizontal Left
Thumb,No Curl,Horizontal Left
Index,No Curl,Horizontal Left
Middle,No Curl,Horizontal Left
Ring,No Curl,Horizontal Left
Pinky,No Curl,Horizontal Left
Thumb,No Curl,Horizontal Left
Index,No Curl,Horizontal Left
Middle,No Curl,Horizontal Left
Ring,No Curl,Horizontal Left
Pinky,No Curl,Horizontal Left
Thumb,No Curl,Horizontal Left
Index,No Curl,Horizontal Left
Middle,No Curl,Horizontal Left
Ring,No Curl,Horizontal Left
Pinky,No Curl,Horizontal Left
Thumb,No Curl,Diagonal Up Left
Index,No Curl,Diagonal Up Left
Middle,No Curl,Diagonal Up Left
Ring,No Curl,Diagonal Up Left
Pinky,No Curl,Diagonal Up Left
Thumb,No Curl,Diagonal Up Left
Index,Half Curl,Diagonal Up Left
Middle,Half Curl,Diagonal Up Left
Ring,Half Curl,Diagonal Up Left
Pinky,Half Curl,Diagonal Up Left
Thumb,No Curl,Vertical Up
Index,No Curl,Diagonal Up Left
Middle,No Curl,Diagonal Up Left
Ring,No Curl,Diagonal Up Left
Pinky,No Curl,Diagonal Up Left
Thumb,No Curl,Vertical Up
Index,No Curl,Diagonal Up Left
Middle,No Curl,Vertical Up
Ring,No Curl,Vertical Up
Pinky,No Curl,Diagonal Up Left
Thumb,No Curl,Vertical Up
Index,No Curl,Vertical Up
Middle,No Curl,Vertical Up
Ring,No Curl,Vertical Up
Pinky,No Curl,Vertical Up
Thumb,No Curl,Vertical Up
Index,No Curl,Vertical Up
Middle,No Curl,Vertical Up
Ring,No Curl,Vertical Up
Pinky,No Curl,Vertical Up
Thumb,No Curl,Vertical Up
Index,No Curl,Vertical Up
Middle,No Curl,Vertical Up
Ring,No Curl,Vertical Up
Pinky,No Curl,Vertical Up
Thumb,No Curl,Vertical Up
Index,No Curl,Vertical Up
Middle,No Curl,Vertical Up
Ring,No Curl,Vertical Up
Pinky,No Curl,Vertical Up
Thumb,No Curl,Vertical Up
Index,No Curl,Vertical Up
Middle,No Curl,Vertical Up
Ring,No Curl,Vertical Up
Pinky,No Curl,Vertical Up
Thumb,No Curl,Vertical Up
Index,No Curl,Vertical Up
Middle,No Curl,Vertical Up
Ring,No Curl,Vertical Up
Pinky,No Curl,Vertical Up
Thumb,No Curl,Vertical Up
Index,No Curl,Vertical Up
Middle,No Curl,Vertical Up
Ring,No Curl,Vertical Up
Pinky,No Curl,Vertical Up
Thumb,No Curl,Vertical Up
Index,No Curl,Vertical Up
Middle,No Curl,Vertical Up
Ring,No Curl,Vertical Up
Pinky,No Curl,Vertical Up
Thumb,No Curl,Vertical Up
Index,No Curl,Vertical Up
Middle,No Curl,Vertical Up
Ring,No Curl,Vertical Up
Pinky,No Curl,Vertical Up
Thumb,No Curl,Vertical Up
Index,No Curl,Vertical Up
Middle,No Curl,Vertical Up
Ring,No Curl,Vertical Up
Pinky,No Curl,Vertical Up
Thumb,No Curl,Diagonal Up Left
Index,Half Curl,Diagonal Up Left
Middle,Half Curl,Vertical Up
Ring,Half Curl,Diagonal Up Left
Pinky,Half Curl,Diagonal Up Left
Thumb,No Curl,Diagonal Up Left
Index,Half Curl,Horizontal Left
Middle,Half Curl,Horizontal Left
Ring,Half Curl,Horizontal Left
Pinky,Half Curl,Horizontal Left
Thumb,No Curl,Diagonal Up Left
Index,No Curl,Horizontal Left
Middle,No Curl,Horizontal Left
Ring,No Curl,Horizontal Left
Pinky,No Curl,Horizontal Left
Thumb,No Curl,Horizontal Left
Index,No Curl,Horizontal Left
Middle,Half Curl,Horizontal Left
Ring,Half Curl,Horizontal Left
Pinky,No Curl,Horizontal Left
Thumb,No Curl,Horizontal Left
Index,No Curl,Horizontal Left
Middle,No Curl,Horizontal Left
Ring,No Curl,Horizontal Left
Pinky,No Curl,Horizontal Left
Thumb,No Curl,Horizontal Left
Index,No Curl,Horizontal Left
Middle,No Curl,Horizontal Left
Ring,No Curl,Horizontal Left
Pinky,No Curl,Horizontal Left
Thumb,No Curl,Horizontal Left
Index,No Curl,Horizontal Left
Middle,No Curl,Horizontal Left
Ring,No Curl,Horizontal Left
Pinky,No Curl,Horizontal Left
Thumb,No Curl,Horizontal Left
Index,No Curl,Horizontal Left
Middle,No Curl,Horizontal Left
Ring,No Curl,Horizontal Left
Pinky,No Curl,Horizontal Left
Thumb,No Curl,Horizontal Left
Index,No Curl,Horizontal Left
Middle,No Curl,Horizontal Left
Ring,No Curl,Horizontal Left
Pinky,No Curl,Horizontal Left
Thumb,No Curl,Horizontal Left
Index,No Curl,Horizontal Left
Middle,No Curl,Horizontal Left
Ring,No Curl,Horizontal Left
Pinky,No Curl,Horizontal Left
Thumb,No Curl,Horizontal Left
Index,No Curl,Horizontal Left
Middle,No Curl,Horizontal Left
Ring,No Curl,Horizontal Left
Pinky,No Curl,Horizontal Left
Thumb,No Curl,Horizontal Left
Index,No Curl,Horizontal Left
Middle,No Curl,Horizontal Left
Ring,No Curl,Horizontal Left
Pinky,No Curl,Horizontal Left
Thumb,No Curl,Horizontal Left
Index,No Curl,Horizontal Left
Middle,No Curl,Horizontal Left
Ring,No Curl,Horizontal Left
Pinky,No Curl,Horizontal Left
Thumb,No Curl,Diagonal Up Left
Index,No Curl,Horizontal Left
Middle,No Curl,Horizontal Left
Ring,No Curl,Horizontal Left
Pinky,No Curl,Horizontal Left
Thumb,No Curl,Diagonal Up Left
Index,No Curl,Horizontal Left
Middle,No Curl,Horizontal Left
Ring,No Curl,Horizontal Left
Pinky,No Curl,Horizontal Left
Thumb,No Curl,Diagonal Up Left
Index,No Curl,Horizontal Left
Middle,No Curl,Horizontal Left
Ring,No Curl,Horizontal Left
Pinky,No Curl,Horizontal Left
Thumb,No Curl,Diagonal Up Left
Index,No Curl,Horizontal Left
Middle,No Curl,Horizontal Left
Ring,No Curl,Horizontal Left
Pinky,No Curl,Horizontal Left
Thumb,No Curl,Diagonal Up Left
Index,No Curl,Horizontal Left
Middle,No Curl,Horizontal Left
Ring,No Curl,Horizontal Left
Pinky,No Curl,Horizontal Left
Thumb,No Curl,Diagonal Up Left
Index,No Curl,Horizontal Left
Middle,No Curl,Horizontal Left
Ring,No Curl,Horizontal Left
Pinky,No Curl,Horizontal Left
Thumb,No Curl,Diagonal Up Left
Index,No Curl,Horizontal Left
Middle,No Curl,Horizontal Left
Ring,No Curl,Horizontal Left
Pinky,No Curl,Horizontal Left
Thumb,No Curl,Diagonal Up Left
Index,No Curl,Horizontal Left
Middle,No Curl,Horizontal Left
Ring,No Curl,Horizontal Left
Pinky,No Curl,Horizontal Left
Thumb,No Curl,Diagonal Up Left
Index,No Curl,Horizontal Left
Middle,No Curl,Horizontal Left
Ring,No Curl,Horizontal Left
Pinky,No Curl,Horizontal Left
Thumb,No Curl,Diagonal Up Left
Index,No Curl,Horizontal Left
Middle,No Curl,Horizontal Left
Ring,No Curl,Horizontal Left
Pinky,No Curl,Horizontal Left
Thumb,No Curl,Diagonal Up Left
Index,No Curl,Horizontal Left
Middle,No Curl,Horizontal Left
Ring,No Curl,Horizontal Left
Pinky,No Curl,Horizontal Left
Thumb,No Curl,Diagonal Up Left
Index,No Curl,Horizontal Left
Middle,No Curl,Horizontal Left
Ring,No Curl,Horizontal Left
Pinky,No Curl,Horizontal Left
Thumb,No Curl,Diagonal Up Left
Index,No Curl,Horizontal Left
Middle,No Curl,Horizontal Left
Ring,No Curl,Horizontal Left
Pinky,No Curl,Horizontal Left
Thumb,No Curl,Diagonal Up Left
Index,Half Curl,Diagonal Up Left
Middle,No Curl,Horizontal Left
Ring,No Curl,Horizontal Left
Pinky,No Curl,Horizontal Left
Thumb,No Curl,Vertical Up
Index,No Curl,Diagonal Up Left
Middle,No Curl,Diagonal Up Left
Ring,No Curl,Diagonal Up Left
Pinky,No Curl,Diagonal Up Left
Thumb,No Curl,Vertical Up
Index,No Curl,Diagonal Up Left
Middle,No Curl,Vertical Up
Ring,No Curl,Vertical Up
Pinky,No Curl,Vertical Up
Thumb,No Curl,Vertical Up
Index,No Curl,Vertical Up
Middle,No Curl,Vertical Up
Ring,No Curl,Vertical Up
Pinky,No Curl,Vertical Up
Thumb,No Curl,Vertical Up
Index,No Curl,Vertical Up
Middle,No Curl,Vertical Up
Ring,No Curl,Vertical Up
Pinky,No Curl,Vertical Up
Thumb,No Curl,Vertical Up
Index,No Curl,Vertical Up
Middle,No Curl,Vertical Up
Ring,No Curl,Vertical Up
Pinky,No Curl,Vertical Up
Thumb,No Curl,Vertical Up
Index,No Curl,Vertical Up
Middle,No Curl,Vertical Up
Ring,No Curl,Vertical Up
Pinky,No Curl,Vertical Up
Thumb,No Curl,Vertical Up
Index,No Curl,Vertical Up
Middle,No Curl,Vertical Up
Ring,No Curl,Vertical Up
Pinky,No Curl,Vertical Up
Thumb,No Curl,Vertical Up
Index,No Curl,Vertical Up
Middle,No Curl,Vertical Up
Ring,No Curl,Vertical Up
Pinky,No Curl,Vertical Up
Thumb,No Curl,Vertical Up
Index,No Curl,Diagonal Up Left
Middle,No Curl,Vertical Up
Ring,No Curl,Vertical Up
Pinky,No Curl,Vertical Up
Thumb,No Curl,Vertical Up
Index,No Curl,Diagonal Up Left
Middle,No Curl,Diagonal Up Left
Ring,No Curl,Diagonal Up Left
Pinky,No Curl,Diagonal Up Left
Thumb,No Curl,Diagonal Up Left
Index,No Curl,Horizontal Left
Middle,No Curl,Horizontal Left
Ring,No Curl,Horizontal Left
Pinky,No Curl,Horizontal Left
Thumb,No Curl,Diagonal Up Left
Index,No Curl,Horizontal Left
Middle,No Curl,Horizontal Left
Ring,No Curl,Horizontal Left
Pinky,No Curl,Horizontal Left
Thumb,No Curl,Diagonal Up Left
Index,No Curl,Horizontal Left
Middle,No Curl,Horizontal Left
Ring,No Curl,Horizontal Left
Pinky,No Curl,Horizontal Left
Thumb,No Curl,Diagonal Up Left
Index,No Curl,Horizontal Left
Middle,No Curl,Horizontal Left
Ring,No Curl,Horizontal Left
Pinky,No Curl,Horizontal Left
Thumb,No Curl,Diagonal Up Left
Index,No Curl,Horizontal Left
Middle,No Curl,Horizontal Left
Ring,No Curl,Horizontal Left
Pinky,No Curl,Horizontal Left
Thumb,No Curl,Diagonal Up Left
Index,No Curl,Horizontal Left
Middle,No Curl,Horizontal Left
Ring,No Curl,Horizontal Left
Pinky,No Curl,Horizontal Left
Thumb,No Curl,Diagonal Up Left
Index,No Curl,Horizontal Left
Middle,No Curl,Horizontal Left
Ring,No Curl,Horizontal Left
Pinky,No Curl,Horizontal Left
Thumb,No Curl,Diagonal Up Left
Index,No Curl,Horizontal Left
Middle,No Curl,Horizontal Left
Ring,No Curl,Horizontal Left
Pinky,No Curl,Horizontal Left
Thumb,No Curl,Diagonal Up Left
Index,No Curl,Horizontal Left
Middle,No Curl,Horizontal Left
Ring,No Curl,Horizontal Left
Pinky,No Curl,Horizontal Left
Thumb,No Curl,Diagonal Up Left
Index,No Curl,Horizontal Left
Middle,No Curl,Horizontal Left
Ring,No Curl,Horizontal Left
Pinky,No Curl,Horizontal Left
Thumb,No Curl,Diagonal Up Left
Index,No Curl,Horizontal Left
Middle,No Curl,Horizontal Left
Ring,No Curl,Horizontal Left
Pinky,No Curl,Horizontal Left
Thumb,No Curl,Diagonal Up Left
Index,No Curl,Horizontal Left
Middle,No Curl,Horizontal Left
Ring,No Curl,Horizontal Left
Pinky,No Curl,Horizontal Left
Thumb,No Curl,Diagonal Up Left
Index,No Curl,Horizontal Left
Middle,No Curl,Horizontal Left
Ring,No Curl,Horizontal Left
Pinky,No Curl,Horizontal Left
Thumb,No Curl,Diagonal Up Left
Index,No Curl,Horizontal Left
Middle,No Curl,Horizontal Left
Ring,No Curl,Horizontal Left
Pinky,No Curl,Horizontal Left
Thumb,No Curl,Diagonal Up Left
Index,No Curl,Horizontal Left
Middle,No Curl,Horizontal Left
Ring,No Curl,Horizontal Left
Pinky,No Curl,Horizontal Left
Thumb,No Curl,Diagonal Up Left
Index,No Curl,Horizontal Left
Middle,No Curl,Horizontal Left
Ring,No Curl,Horizontal Left
Pinky,No Curl,Horizontal Left
Thumb,No Curl,Diagonal Up Left
Index,No Curl,Horizontal Left
Middle,No Curl,Horizontal Left
Ring,No Curl,Horizontal Left
Pinky,No Curl,Horizontal Left
Thumb,No Curl,Diagonal Up Left
Index,No Curl,Horizontal Left
Middle,No Curl,Horizontal Left
Ring,No Curl,Horizontal Left
Pinky,No Curl,Horizontal Left
Thumb,No Curl,Diagonal Up Left
Index,No Curl,Horizontal Left
Middle,No Curl,Horizontal Left
Ring,No Curl,Horizontal Left
Pinky,No Curl,Horizontal Left
Thumb,No Curl,Diagonal Up Left
Index,No Curl,Horizontal Left
Middle,No Curl,Horizontal Left
Ring,No Curl,Horizontal Left
Pinky,No Curl,Horizontal Left
Thumb,No Curl,Vertical Up
Index,No Curl,Diagonal Up Left
Middle,No Curl,Vertical Up
Ring,No Curl,Diagonal Up Left
Pinky,No Curl,Diagonal Up Left
Thumb,No Curl,Diagonal Up Right
Index,No Curl,Diagonal Up Right
Middle,No Curl,Vertical Up
Ring,No Curl,Vertical Up
Pinky,No Curl,Diagonal Up Left
Thumb,No Curl,Diagonal Up Right
Index,No Curl,Vertical Up
Middle,No Curl,Vertical Up
Ring,No Curl,Vertical Up
Pinky,No Curl,Vertical Up
Thumb,No Curl,Diagonal Up Right
Index,No Curl,Vertical Up
Middle,No Curl,Vertical Up
Ring,No Curl,Vertical Up
Pinky,No Curl,Vertical Up
Thumb,No Curl,Diagonal Up Right
Index,No Curl,Vertical Up
Middle,No Curl,Vertical Up
Ring,No Curl,Vertical Up
Pinky,No Curl,Vertical Up
Thumb,No Curl,Diagonal Up Right
Index,No Curl,Vertical Up
Middle,No Curl,Vertical Up
Ring,No Curl,Vertical Up
Pinky,No Curl,Vertical Up
Thumb,No Curl,Diagonal Up Right
Index,No Curl,Vertical Up
Middle,No Curl,Vertical Up
Ring,No Curl,Vertical Up
Pinky,No Curl,Vertical Up
Thumb,No Curl,Diagonal Up Right
Index,No Curl,Vertical Up
Middle,No Curl,Vertical Up
Ring,No Curl,Vertical Up
Pinky,No Curl,Vertical Up
Thumb,No Curl,Vertical Up
Index,No Curl,Vertical Up
Middle,No Curl,Vertical Up
Ring,No Curl,Diagonal Up Left
Pinky,No Curl,Diagonal Up Left
Thumb,No Curl,Vertical Up
Index,Half Curl,Vertical Up
Middle,Half Curl,Diagonal Up Left
Ring,Half Curl,Diagonal Up Left
Pinky,Half Curl,Diagonal Up Left
Thumb,No Curl,Horizontal Left
Index,Half Curl,Horizontal Left
Middle,Half Curl,Horizontal Left
Ring,Half Curl,Horizontal Left
Pinky,No Curl,Horizontal Left
Thumb,No Curl,Horizontal Left
Index,No Curl,Horizontal Left
Middle,No Curl,Horizontal Left
Ring,No Curl,Horizontal Left
Pinky,No Curl,Horizontal Left
Thumb,No Curl,Horizontal Left
Index,No Curl,Horizontal Left
Middle,No Curl,Horizontal Left
Ring,No Curl,Horizontal Left
Pinky,No Curl,Horizontal Left
Thumb,No Curl,Horizontal Left
Index,No Curl,Horizontal Left
Middle,No Curl,Horizontal Left
Ring,No Curl,Horizontal Left
Pinky,No Curl,Horizontal Left
Thumb,No Curl,Horizontal Left
Index,No Curl,Horizontal Left
Middle,No Curl,Horizontal Left
Ring,No Curl,Horizontal Left
Pinky,No Curl,Horizontal Left
Thumb,No Curl,Horizontal Left
Index,No Curl,Horizontal Left
Middle,No Curl,Horizontal Left
Ring,No Curl,Horizontal Left
Pinky,No Curl,Horizontal Left
Thumb,No Curl,Horizontal Left
Index,No Curl,Horizontal Left
Middle,No Curl,Horizontal Left
Ring,No Curl,Horizontal Left
Pinky,No Curl,Horizontal Left
Thumb,No Curl,Horizontal Left
Index,No Curl,Horizontal Left
Middle,No Curl,Horizontal Left
Ring,No Curl,Horizontal Left
Pinky,No Curl,Horizontal Left
Thumb,No Curl,Horizontal Left
Index,No Curl,Horizontal Left
Middle,No Curl,Horizontal Left
Ring,No Curl,Horizontal Left
Pinky,No Curl,Horizontal Left
Thumb,No Curl,Horizontal Left
Index,No Curl,Horizontal Left
Middle,No Curl,Horizontal Left
Ring,No Curl,Horizontal Left
Pinky,No Curl,Horizontal Left
Thumb,No Curl,Horizontal Left
Index,No Curl,Horizontal Left
Middle,No Curl,Horizontal Left
Ring,No Curl,Horizontal Left
Pinky,No Curl,Horizontal Left
Thumb,No Curl,Horizontal Left
Index,No Curl,Horizontal Left
Middle,No Curl,Horizontal Left
Ring,No Curl,Horizontal Left
Pinky,No Curl,Horizontal Left
Thumb,No Curl,Diagonal Up Left
Index,No Curl,Horizontal Left
Middle,No Curl,Horizontal Left
Ring,No Curl,Horizontal Left
Pinky,No Curl,Horizontal Left
Thumb,No Curl,Diagonal Up Left
Index,Half Curl,Diagonal Up Left
Middle,Half Curl,Horizontal Left
Ring,Half Curl,Horizontal Left
Pinky,Half Curl,Horizontal Left
Thumb,No Curl,Vertical Up
Index,No Curl,Diagonal Up Left
Middle,No Curl,Diagonal Up Left
Ring,No Curl,Diagonal Up Left
Pinky,No Curl,Diagonal Up Left
Thumb,No Curl,Vertical Up
Index,No Curl,Vertical Up
Middle,No Curl,Diagonal Up Left
Ring,No Curl,Diagonal Up Left
Pinky,No Curl,Diagonal Up Left
Thumb,No Curl,Vertical Up
Index,No Curl,Diagonal Up Left
Middle,No Curl,Vertical Up
Ring,No Curl,Diagonal Up Left
Pinky,No Curl,Diagonal Up Left
Thumb,No Curl,Vertical Up
Index,No Curl,Vertical Up
Middle,No Curl,Vertical Up
Ring,No Curl,Vertical Up
Pinky,No Curl,Vertical Up
Thumb,No Curl,Diagonal Up Right
Index,No Curl,Vertical Up
Middle,No Curl,Vertical Up
Ring,No Curl,Vertical Up
Pinky,No Curl,Vertical Up
Thumb,No Curl,Vertical Up
Index,No Curl,Vertical Up
Middle,No Curl,Vertical Up
Ring,No Curl,Vertical Up
Pinky,No Curl,Vertical Up
Thumb,No Curl,Vertical Up
Index,No Curl,Vertical Up
Middle,No Curl,Vertical Up
Ring,No Curl,Vertical Up
Pinky,No Curl,Vertical Up
Thumb,No Curl,Diagonal Up Right
Index,No Curl,Vertical Up
Middle,No Curl,Vertical Up
Ring,No Curl,Vertical Up
Pinky,No Curl,Vertical Up
Thumb,No Curl,Vertical Up
Index,No Curl,Vertical Up
Middle,No Curl,Vertical Up
Ring,No Curl,Diagonal Up Left
Pinky,No Curl,Diagonal Up Left
Thumb,No Curl,Vertical Up
Index,No Curl,Diagonal Up Left
Middle,No Curl,Diagonal Up Left
Ring,No Curl,Diagonal Up Left
Pinky,No Curl,Diagonal Up Left
Thumb,No Curl,Diagonal Up Left
Index,Half Curl,Diagonal Up Left
Middle,Half Curl,Diagonal Up Left
Ring,Half Curl,Diagonal Up Left
Pinky,Half Curl,Diagonal Up Left
Thumb,No Curl,Diagonal Up Left
Index,Half Curl,Horizontal Left
Middle,Half Curl,Horizontal Left
Ring,Half Curl,Horizontal Left
Pinky,Half Curl,Horizontal Left
Thumb,No Curl,Horizontal Left
Index,No Curl,Horizontal Left
Middle,No Curl,Horizontal Left
Ring,No Curl,Horizontal Left
Pinky,No Curl,Horizontal Left
Thumb,No Curl,Horizontal Left
Index,No Curl,Horizontal Left
Middle,No Curl,Horizontal Left
Ring,No Curl,Horizontal Left
Pinky,No Curl,Horizontal Left
Thumb,No Curl,Horizontal Left
Index,No Curl,Horizontal Left
Middle,No Curl,Horizontal Left
Ring,No Curl,Horizontal Left
Pinky,No Curl,Horizontal Left
Thumb,No Curl,Horizontal Left
Index,No Curl,Horizontal Left
Middle,No Curl,Horizontal Left
Ring,No Curl,Horizontal Left
Pinky,No Curl,Horizontal Left
Thumb,No Curl,Horizontal Left
Index,No Curl,Horizontal Left
Middle,No Curl,Horizontal Left
Ring,No Curl,Horizontal Left
Pinky,No Curl,Horizontal Left
Thumb,No Curl,Horizontal Left
Index,No Curl,Horizontal Left
Middle,No Curl,Horizontal Left
Ring,No Curl,Horizontal Left
Pinky,No Curl,Horizontal Left
Thumb,No Curl,Horizontal Left
Index,No Curl,Horizontal Left
Middle,No Curl,Horizontal Left
Ring,No Curl,Horizontal Left
Pinky,No Curl,Horizontal Left
Thumb,No Curl,Diagonal Up Left
Index,No Curl,Horizontal Left
Middle,No Curl,Horizontal Left
Ring,No Curl,Horizontal Left
Pinky,No Curl,Horizontal Left
Thumb,No Curl,Diagonal Up Left
Index,No Curl,Horizontal Left
Middle,No Curl,Horizontal Left
Ring,No Curl,Horizontal Left
Pinky,No Curl,Horizontal Left
Thumb,No Curl,Diagonal Up Left
Index,No Curl,Horizontal Left
Middle,No Curl,Horizontal Left
Ring,No Curl,Horizontal Left
Pinky,No Curl,Horizontal Left
Thumb,No Curl,Diagonal Up Left
Index,No Curl,Horizontal Left
Middle,No Curl,Horizontal Left
Ring,No Curl,Horizontal Left
Pinky,No Curl,Horizontal Left
Thumb,No Curl,Diagonal Up Left
Index,No Curl,Horizontal Left
Middle,No Curl,Horizontal Left
Ring,No Curl,Horizontal Left
Pinky,No Curl,Horizontal Left
Thumb,No Curl,Diagonal Up Left
Index,No Curl,Horizontal Left
Middle,No Curl,Horizontal Left
Ring,No Curl,Horizontal Left
Pinky,No Curl,Horizontal Left
Thumb,No Curl,Diagonal Up Left
Index,No Curl,Horizontal Left
Middle,No Curl,Horizontal Left
Ring,No Curl,Horizontal Left
Pinky,No Curl,Horizontal Left
Thumb,No Curl,Diagonal Up Left
Index,No Curl,Horizontal Left
Middle,No Curl,Horizontal Left
Ring,No Curl,Horizontal Left
Pinky,No Curl,Horizontal Left
Thumb,No Curl,Diagonal Up Left
Index,No Curl,Horizontal Left
Middle,No Curl,Horizontal Left
Ring,No Curl,Horizontal Left
Pinky,No Curl,Horizontal Left
Thumb,No Curl,Diagonal Up Left
Index,No Curl,Diagonal Up Left
Middle,No Curl,Horizontal Left
Ring,No Curl,Horizontal Left
Pinky,No Curl,Horizontal Left
Thumb,No Curl,Vertical Up
Index,No Curl,Vertical Up
Middle,No Curl,Diagonal Up Left
Ring,No Curl,Diagonal Up Left
Pinky,No Curl,Diagonal Up Left
Thumb,No Curl,Vertical Up
Index,No Curl,Diagonal Up Left
Middle,No Curl,Vertical Up
Ring,No Curl,Diagonal Up Left
Pinky,No Curl,Vertical Up
Thumb,No Curl,Vertical Up
Index,No Curl,Vertical Up
Middle,No Curl,Vertical Up
Ring,No Curl,Vertical Up
Pinky,No Curl,Vertical Up
Thumb,No Curl,Vertical Up
Index,No Curl,Vertical Up
Middle,No Curl,Vertical Up
Ring,No Curl,Vertical Up
Pinky,No Curl,Vertical Up
Thumb,No Curl,Vertical Up
Index,No Curl,Vertical Up
Middle,No Curl,Vertical Up
Ring,No Curl,Vertical Up
Pinky,No Curl,Vertical Up
Thumb,No Curl,Vertical Up
Index,No Curl,Vertical Up
Middle,No Curl,Vertical Up
Ring,No Curl,Vertical Up
Pinky,No Curl,Vertical Up
Thumb,No Curl,Vertical Up
Index,No Curl,Vertical Up
Middle,No Curl,Vertical Up
Ring,No Curl,Diagonal Up Left
Pinky,No Curl,Diagonal Up Left
Thumb,No Curl,Vertical Up
Index,No Curl,Vertical Up
Middle,No Curl,Diagonal Up Left
Ring,No Curl,Diagonal Up Left
Pinky,No Curl,Diagonal Up Left
Thumb,No Curl,Vertical Up
Index,No Curl,Diagonal Up Left
Middle,No Curl,Diagonal Up Left
Ring,No Curl,Diagonal Up Left
Pinky,No Curl,Diagonal Up Left
Thumb,No Curl,Horizontal Left
Index,Half Curl,Horizontal Left
Middle,Half Curl,Horizontal Left
Ring,No Curl,Horizontal Left
Pinky,No Curl,Horizontal Left
Thumb,No Curl,Horizontal Left
Index,No Curl,Horizontal Left
Middle,No Curl,Horizontal Left
Ring,No Curl,Horizontal Left
Pinky,No Curl,Horizontal Left
Thumb,No Curl,Horizontal Left
Index,No Curl,Horizontal Left
Middle,No Curl,Horizontal Left
Ring,No Curl,Horizontal Left
Pinky,No Curl,Horizontal Left
Thumb,No Curl,Horizontal Left
Index,No Curl,Horizontal Left
Middle,No Curl,Horizontal Left
Ring,No Curl,Horizontal Left
Pinky,No Curl,Horizontal Left
Thumb,No Curl,Diagonal Up Left
Index,No Curl,Horizontal Left
Middle,No Curl,Horizontal Left
Ring,No Curl,Horizontal Left
Pinky,No Curl,Horizontal Left
Thumb,No Curl,Diagonal Up Left
Index,No Curl,Horizontal Left
Middle,No Curl,Horizontal Left
Ring,No Curl,Horizontal Left
Pinky,No Curl,Horizontal Left
Thumb,No Curl,Diagonal Up Left
Index,No Curl,Horizontal Left
Middle,No Curl,Horizontal Left
Ring,No Curl,Horizontal Left
Pinky,No Curl,Horizontal Left
Thumb,No Curl,Diagonal Up Left
Index,No Curl,Horizontal Left
Middle,No Curl,Horizontal Left
Ring,No Curl,Horizontal Left
Pinky,No Curl,Horizontal Left
Thumb,No Curl,Diagonal Up Left
Index,No Curl,Horizontal Left
Middle,No Curl,Horizontal Left
Ring,No Curl,Horizontal Left
Pinky,No Curl,Horizontal Left
Thumb,No Curl,Diagonal Up Left
Index,No Curl,Horizontal Left
Middle,No Curl,Horizontal Left
Ring,No Curl,Horizontal Left
Pinky,No Curl,Horizontal Left
Thumb,No Curl,Diagonal Up Left
Index,No Curl,Horizontal Left
Middle,No Curl,Horizontal Left
Ring,No Curl,Horizontal Left
Pinky,No Curl,Horizontal Left
Thumb,No Curl,Diagonal Up Left
Index,No Curl,Horizontal Left
Middle,No Curl,Horizontal Left
Ring,No Curl,Horizontal Left
Pinky,No Curl,Horizontal Left
Thumb,No Curl,Diagonal Up Left
Index,No Curl,Horizontal Left
Middle,No Curl,Horizontal Left
Ring,No Curl,Horizontal Left
Pinky,No Curl,Horizontal Left
Thumb,No Curl,Diagonal Up Left
Index,No Curl,Horizontal Left
Middle,No Curl,Horizontal Left
Ring,No Curl,Horizontal Left
